0,1,2,3,4,5,6,7,8,9,10,11,12,13
32.458,18.794,13.664,76.587,23.413,28.7,18.7,8.8,66.9,29.4,81.642,12.43,8.65,42.1
33.704,22.896,10.688,87.354,12.646,31.3,23.3,8.0,66.1,33.3,90.746,10.81,10.47,31.71
35.075,25.258,9.817,79.561,20.439,34.5,25.7,8.4,55.8,37.3,79.692,10.37,11.27,27.99
30.596,23.328,6.94,93.981,6.019,32.4,24.3,6.9,61.9,30.5,82.158,6.22,4.91,22.93
32.742,19.413,13.329,61.485,38.515,32.0,19.1,12.9,53.2,7.9,82.013,11.57,13.28,40.71
32.073,20.126,11.947,82.555,17.445,27.8,20.4,7.4,69.9,3.3,92.092,11.52,11.14,37.25
32.073,15.629,16.444,76.016,23.984,28.2,16.9,11.3,63.5,28.9,86.737,15.55,14.41,51.27
35.475,21.485,13.369,72.033,27.967,30.8,22.1,8.6,62.7,36.7,89.521,13.99,13.87,37.69
36.119,21.7,14.419,70.645,29.355,31.6,22.1,9.5,60.4,37.2,82.233,15.87,15.75,39.92
32.458,18.794,13.664,76.587,23.413,28.7,18.7,8.8,66.9,29.4,81.642,12.43,8.65,42.1
33.704,22.896,10.688,87.354,12.646,31.3,23.3,8.0,66.1,33.3,90.746,10.81,10.47,31.71
35.075,25.258,9.817,79.561,20.439,34.5,25.7,8.4,55.8,37.3,79.692,10.37,11.27,27.99
32.073,20.126,11.947,82.555,17.445,27.8,20.4,7.4,69.9,3.3,92.092,11.52,11.14,37.25
35.475,21.485,13.369,72.033,27.967,30.8,22.1,8.6,62.7,36.7,89.521,13.99,13.87,37.69
36.119,21.7,14.419,70.645,29.355,31.6,22.1,9.5,60.4,37.2,82.233,15.87,15.75,39.92
33.704,22.896,10.688,87.354,12.646,31.3,23.3,8.0,66.1,33.3,90.746,10.81,10.47,31.71
35.075,25.258,9.817,79.561,20.439,34.5,25.7,8.4,55.8,37.3,79.692,10.37,11.27,27.99
36.31,13.74,20.57,19.37,67.22,29.2,15.3,11.7,37.6,56.8,71.97,22.57,24.452,59.95
36.31,13.74,20.57,19.37,67.22,29.2,15.3,11.7,37.6,56.8,71.97,22.57,24.452,59.95
35.98,12.36,23.62,18.47,63.66,28.1,13.9,12.3,43.5,48.0,68.24,25.542,28.717,65.65
33.84,13.95,17.42,49.06,39.18,29.1,16.6,10.6,38.7,47.4,66.95,19.881,21.592,52.45
28.52,12.39,16.13,55.54,34.05,28.1,16.3,9.9,41.1,33.2,60.0,17.831,21.175,56.56
31.38,16.01,8.87,76.72,10.05,30.2,17.1,5.8,63.1,31.8,91.27,9.467,11.16,30.45
41.83,21.13,20.7,64.36,33.99,32.8,22.3,9.5,55.8,37.1,82.71,20.674,21.937,49.49
33.84,13.95,17.42,49.06,39.18,29.1,16.6,10.6,38.7,47.4,66.95,19.881,21.592,52.45
28.52,12.39,16.13,55.54,34.05,28.1,16.3,9.9,41.1,33.2,60.0,17.831,21.175,56.56
31.38,16.01,8.87,76.72,10.05,30.2,17.1,5.8,63.1,31.8,91.27,9.467,11.16,30.45
42.06,22.56,19.5,60.09,38.7,32.9,24.6,8.3,60.9,32.2,80.69,19.197,21.457,46.36
41.83,21.13,20.7,64.36,33.99,32.8,22.3,9.5,55.8,37.1,82.71,20.674,21.937,49.49
42.3,20.32,21.98,55.17,43.63,33.7,23.2,9.8,51.9,36.6,75.06,25.859,26.694,51.96
30.672,16.892,13.78,59.6,31.451,30.9,18.1,11.3,54.5,39.7,47.3,11.592,11.354,44.93
36.742,13.546,21.185,40.534,45.576,29.4,15.7,12.6,40.0,51.9,46.3,23.196,24.257,57.66
31.612,12.05,18.167,50.916,37.755,29.7,14.9,12.9,42.2,49.5,45.85,19.562,22.698,60.12
39.772,21.342,18.43,19.804,65.328,32.7,22.1,10.3,60.3,34.7,47.5,18.311,19.526,46.34
39.346,20.603,18.433,31.787,54.719,33.4,23.4,10.0,52.2,41.4,46.8,19.567,22.74,46.85
37.315,21.604,15.657,33.06,54.002,35.5,22.9,11.6,52.1,39.2,47.2,15.227,16.617,42.02
31.791,20.46,10.735,34.824,50.284,28.9,20.4,8.1,69.2,28.9,95.721,11.331,9.852,33.77
35.475,17.034,18.441,45.694,53.374,30.9,18.1,11.3,54.5,39.7,47.3,16.3,15.991,51.98
34.492,13.69,20.46,50.08,49.92,29.4,15.7,12.6,40.0,51.9,46.3,21.616,21.958,59.91
40.057,22.441,17.616,63.677,36.323,34.7,23.9,10.8,56.4,37.7,47.05,17.567,19.454,43.98
39.149,21.485,17.187,65.515,34.485,35.5,22.9,11.6,52.1,39.2,47.2,16.351,18.356,44.44
32.201,20.507,11.169,85.948,14.052,28.9,20.4,8.1,69.2,28.9,95.721,11.694,10.19,34.69
39.743,22.441,17.302,61.66,38.34,33.6,23.9,9.3,63.3,30.2,83.617,16.751,19.283,43.53
39.093,24.146,14.947,64.143,35.857,35.6,24.9,10.1,60.1,35.7,81.688,14.754,14.633,38.23
34.492,13.69,20.46,50.08,49.92,29.4,15.7,12.6,40.0,51.9,46.3,21.616,21.958,59.91
36.012,12.074,23.938,43.62,56.38,29.7,14.9,12.9,42.2,49.5,45.85,24.739,28.744,66.47
34.783,16.582,12.438,62.753,37.247,31.6,17.4,7.4,58.5,36.8,48.55,12.557,15.085,35.76
40.057,22.441,17.616,63.677,36.323,34.7,23.9,10.8,56.4,37.7,47.05,17.567,19.454,43.98
38.17,21.366,16.804,80.595,19.405,32.7,22.1,10.3,60.3,34.7,47.5,16.661,17.805,44.02
41.443,20.746,20.149,60.198,39.802,33.4,23.4,10.0,52.2,41.4,46.8,20.697,24.647,48.62
39.149,21.485,17.187,65.515,34.485,35.5,22.9,11.6,52.1,39.2,47.2,16.351,18.356,44.44
39.093,24.146,14.947,64.143,35.857,35.6,24.9,10.1,60.1,35.7,81.688,14.754,14.633,38.23
33.94,13.43,18.38,55.08,32.59,28.4,15.4,11.4,41.8,42.9,65.7,20.515,22.594,56.49
34.78,16.89,13.61,64.04,23.05,31.1,17.2,7.4,61.4,36.6,95.19,13.513,14.514,39.1
37.02,21.75,14.78,55.29,34.59,33.3,22.9,10.4,58.6,37.3,81.79,15.517,16.007,40.44
45.69,20.82,23.48,47.92,39.72,32.2,21.3,9.3,62.4,35.1,86.9,24.87,26.369,51.41
47.09,20.65,25.89,46.1,41.89,33.2,21.8,10.9,55.7,40.6,80.25,26.442,30.224,54.98
44.29,21.03,22.64,53.29,34.45,33.1,22.4,10.7,55.7,43.0,82.82,21.631,23.733,51.12
27.75,20.53,6.93,63.56,25.63,27.7,20.0,7.3,77.3,22.7,98.93,7.22,5.74,24.97
33.94,13.43,18.38,55.08,32.59,28.4,15.4,11.4,41.8,42.9,65.7,20.515,22.594,56.49
34.78,16.89,13.61,64.04,23.05,31.1,17.2,7.4,61.4,36.6,95.19,13.513,14.514,39.1
37.02,21.75,14.78,55.29,34.59,33.3,22.9,10.4,58.6,37.3,81.79,15.517,16.007,40.44
45.69,20.82,23.48,47.92,39.72,32.2,21.3,9.3,62.4,35.1,86.9,24.87,26.369,51.41
47.09,20.65,25.89,46.1,41.89,33.2,21.8,10.9,55.7,40.6,80.25,26.442,30.224,54.98
44.29,21.03,22.64,53.29,34.45,33.1,22.4,10.7,55.7,43.0,82.82,21.631,23.733,51.12
27.75,20.53,6.93,63.56,25.63,27.7,20.0,7.3,77.3,22.7,98.93,7.22,5.74,24.97
36.987,17.701,18.5,50.302,48.15,29.8,18.1,10.4,54.2,38.3,73.758,17.241,17.812,51.1
35.77,13.353,22.42,42.82,55.15,29.8,16.6,11.3,39.9,45.8,55.763,23.092,22.717,62.67
36.878,12.727,22.93,41.225,57.53,29.1,16.2,10.5,38.8,38.7,55.197,24.682,28.319,64.31
38.644,22.034,16.61,63.657,36.22,32.5,24.1,8.4,64.2,32.0,74.483,16.775,17.636,42.98
40.114,21.39,18.7,61.705,38.25,32.6,21.9,9.8,59.7,37.0,77.664,19.607,22.58,46.62
42.09,20.079,21.11,58.293,41.35,34.2,22.7,10.7,51.4,38.6,68.315,22.011,25.056,50.14
41.736,22.705,19.03,62.866,36.94,34.5,24.6,9.9,53.1,40.3,73.67,18.912,19.555,45.6
37.976,20.317,17.66,57.58,42.42,25.8,16.2,9.6,59.0,41.0,76.878,17.54,15.774,46.5
